0,"Asma Bronquial","Desde ayer siento un dolor agudo en el pecho y un silbido fuerte al respirar; también tengo fiebre, tos con flema, mucha secreción nasal y noto que todo empezó tras una reacción alérgica."
1,"Asma Bronquial","Me falta el aire, tengo fiebre, estoy tosiendo con flema y con la nariz que no para de gotear; creo que fue por una alergia."
2,"Asma Bronquial","Llevo dos días con un dolor agudo y opresión en el pecho, fiebre, me cuesta respirar, toso con flema y tengo secreción nasal constante."
3,"Asma Bronquial","Estoy con tos, me silba el pecho al respirar y tengo fiebre."
4,"Asma Bronquial","Siento un dolor agudo y opresión en el pecho, al respirar me silba, tengo fiebre, secreción nasal y todo parece una reacción alérgica."
5,"Asma Bronquial","Me oprime el pecho, toso y me cuesta mucho respirar."
6,"Asma Bronquial","Tengo la nariz muy congestionada, un silbido en el pecho, fiebre y tos con flema."
7,"Asma Bronquial","Me silba el pecho al respirar, tengo fiebre, dificultad para respirar, tos con flema y una clara reacción alérgica."
8,"Asma Bronquial","Me falta el aire, siento un dolor agudo en el pecho, tos, tos con flema, secreción nasal y reacción alérgica."
9,"Asma Bronquial","Solo tengo tos, un silbido al respirar y desencadenó una reacción alérgica."
10,"Asma Bronquial","Me falta el aire, tos, congestión nasal, silbido en el pecho, fiebre, dificultad para respirar y secreción nasal."
11,"Asma Bronquial","Noto un dolor agudo y opresión en el pecho, me silba al respirar, tengo fiebre y tos con flema."
12,"Asma Bronquial","Siento opresión en el pecho, congestión nasal, un silbido al respirar, me cuesta respirar y creo que es una reacción alérgica."
13,"Asma Bronquial","Desde esta mañana tengo un dolor agudo y opresivo en el pecho, tos, congestión nasal, silbido al respirar, dificultad para respirar y tos con flema."
14,"Asma Bronquial","Me falta el aire, dolor agudo en el pecho, congestión nasal, dificultad para respirar y una reacción alérgica evidente."
15,"Asma Bronquial","Presento dolor agudo y opresión en el pecho, tos, congestión nasal, silbido al respirar, dificultad para respirar, secreción nasal y reacción alérgica."
16,"Asma Bronquial","Tengo opresión en el pecho, fiebre, tos con flema y secreción nasal."
17,"Asma Bronquial","Me oprime el pecho, me silba al respirar, me cuesta respirar, tos con flema y una reacción alérgica."
18,"Asma Bronquial","Me falta el aire, siento opresión en el pecho, tos, congestión nasal y tos con flema."
19,"Asma Bronquial","Simplemente me falta el aire."
20,"Dengue","Tengo fiebre alta, dolor de cabeza intenso y un dolor profundo detrás de los ojos."
21,"Dengue","Llevo varios días con fiebre, dolor muscular y un cansancio que no me deja moverme."
22,"Dengue","He tenido fiebre elevada, náuseas y me duelen mucho las articulaciones."
23,"Dengue","Siento escalofríos, dolor en todo el cuerpo y he perdido el apetito."
24,"Dengue","Me ha salido un sarpullido en la piel, tengo fiebre y dolor muscular."
25,"Dengue","Presento fiebre constante, debilidad y un dolor de cabeza que no se quita."
26,"Dengue","Me siento agotado, con un dolor muy fuerte en los huesos y la temperatura alta."
27,"Dengue","Tengo dolor detrás de los ojos, fiebre y vómitos."
28,"Dengue","Me vino una fiebre repentina, dolor en las articulaciones y náuseas."
29,"Dengue","He tenido sudoración, cansancio extremo y dolor muscular."
30,"Dengue","Siento fiebre alta, mareos y me duele todo el cuerpo."
31,"Dengue","Tengo escalofríos, dolor de cabeza y molestias en las articulaciones."
32,"Dengue","Estoy muy cansado, con fiebre y me han aparecido erupciones en la piel."
33,"Dengue","Me duele el cuerpo, tengo fiebre y ando con muy poca energía."
34,"Dengue","Tengo un dolor muscular intenso, fiebre y náuseas muy frecuentes."
35,"Dengue","Presento fiebre alta, dolor en los ojos y una debilidad general que me tumba."
36,"Dengue","Siento dolor de cabeza, fiebre y molestias en las articulaciones."
37,"Dengue","Además de los síntomas típicos, tengo dolor de garganta y un dolor extraño en las muñecas."
38,"Dengue","Me duele la garganta y también siento un dolor persistente en la muñeca."
39,"Dengue","Ando con dolor de garganta y un dolor localizado en la muñeca."
40,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada, me duele la rodilla y otras articulaciones."
41,"Artritis","Solo presento dolor en manos y dedos, y la muñeca se me hincha."
42,"Artritis","Me duelen manos y dedos, la muñeca hinchada, dolor de espalda y de rodilla."
43,"Artritis","Tengo dolor en manos, dedos, muñeca hinchada, dolor de espalda, de rodilla y dolor articular generalizado."
44,"Artritis","Noto dolor en manos y dedos, muñeca hinchada, y también me duele la espalda y la rodilla."
45,"Artritis","Me duelen manos y dedos, la muñeca inflamada, dolor de espalda, de rodilla y dolor en las articulaciones."
46,"Artritis","Dolor en manos, dedos, muñeca hinchada, dolor de espalda y articular."
47,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada y dolor en las articulaciones."
48,"Artritis","Se me hincha la muñeca, me duele la espalda y tengo dolor articular."
49,"Artritis","Siento dolor en manos y dedos, dolor de espalda y de rodilla."
50,"Artritis","Dolor en manos, dedos, muñeca hinchada, dolor de espalda, rodilla y articular."
51,"Artritis","Me duelen las manos y los dedos, tengo la muñeca hinchada y me duele la rodilla."
52,"Artritis","Hinchazón de muñeca, dolor de espalda, de rodilla y articular."
53,"Artritis","Dolor de manos y dedos, muñeca hinchada, dolor de espalda y articular."
54,"Artritis","Me duelen las manos y los dedos, se me hincha la muñeca y siento dolor articular."
55,"Artritis","Tengo dolor en las manos, dedos, muñeca inflamada y molestias articulares."
56,"Artritis","Dolor de manos y dedos, muñeca hinchada y dolor de rodilla."
57,"Artritis","Me duelen las manos y los dedos, la muñeca hinchada, dolor de rodilla y articular."
58,"Artritis","Manos y dedos doloridos, muñeca hinchada, dolor de rodilla y en las articulaciones."
59,"Artritis","Hinchazón de muñeca, dolor de rodilla y dolor articular."
60,"Ictericia","Mi bebé no está creciendo bien, está muy irritable y sus heces tienen un aspecto diferente."
61,"Ictericia","Noto que mi bebé está amarillento, está irritable y sus heces han cambiado de apariencia."
62,"Ictericia","El bebé no gana peso, tiene problemas para alimentarse y las heces se ven anormales."
63,"Ictericia","Falta de crecimiento, el bebé está amarillento y con dificultades para alimentarse."
64,"Ictericia","El bebé no crece adecuadamente y se le ve la piel amarilla."
65,"Ictericia","Falta de crecimiento, ictericia, el bebé muy irritable y cambios en las heces."
66,"Ictericia","El bebé no está creciendo y tiene problemas de alimentación."
67,"Ictericia","Falta de crecimiento y las heces del bebé se ven distintas."
68,"Ictericia","Poco crecimiento y dificultades para alimentar al bebé."
69,"Ictericia","El bebé no crece, está irritable y no se alimenta bien."
70,"Ictericia","Falta de crecimiento y color amarillento en el bebé."
71,"Ictericia","El bebé no crece, está irritable y las heces tienen mal aspecto."
72,"Ictericia","Mi bebé no crece, tiene ictericia, está irritable, con problemas de alimentación y las heces cambiaron."
73,"Ictericia","Falta de crecimiento, problemas en la alimentación y aspecto anormal de las heces."
74,"Ictericia","El bebé no está creciendo y se ve ictérico."
75,"Ictericia","Falta de crecimiento, el bebé irritable y con problemas para comer."
76,"Ictericia","El bebé no crece, tiene problemas para alimentarse y sus heces son anormales."
77,"Ictericia","Solo noto que el bebé no está creciendo."
78,"Ictericia","Falta de crecimiento, ictericia, bebé irritable y problemas de alimentación."
79,"Ictericia","El bebé no crece, está amarillo y con dificultades para alimentarse."
80,"Diabetes","Tengo enrojecimiento vaginal, estoy embarazada y he tenido problemas durante el embarazo junto con presión pélvica."
81,"Diabetes","Enrojecimiento vaginal y problemas durante el embarazo."
82,"Diabetes","Dolor durante el embarazo y enrojecimiento vaginal."
83,"Diabetes","Estando embarazada, tengo dolor, enrojecimiento vaginal y presión en la pelvis."
84,"Diabetes","Dolor en el embarazo, enrojecimiento vaginal y contracciones uterinas."
85,"Diabetes","Siento dolor durante el embarazo, enrojecimiento vaginal y contracciones."
86,"Diabetes","Dolor en el embarazo, contracciones uterinas y presión pélvica."
87,"Diabetes","Enrojecimiento vaginal, contracciones uterinas y presión en la pelvis."
88,"Diabetes","Dolor en el embarazo, enrojecimiento vaginal, problemas gestacionales y presión pélvica."
89,"Diabetes","Enrojecimiento vaginal, contracciones y presión pélvica."
90,"Diabetes","Embarazo con dolor, problemas gestacionales y contracciones uterinas."
91,"Diabetes","Dolor durante el embarazo y enrojecimiento vaginal."
92,"Diabetes","Enrojecimiento vaginal y problemas en el embarazo."
93,"Diabetes","Enrojecimiento vaginal, problemas en el embarazo y presión pélvica."
94,"Diabetes","Enrojecimiento vaginal, problemas gestacionales y contracciones uterinas."
95,"Diabetes","Dolor en el embarazo, enrojecimiento vaginal, problemas durante la gestación y presión pélvica."
96,"Diabetes","Enrojecimiento vaginal, contracciones uterinas y presión pélvica."
97,"Diabetes","Dolor de embarazo, enrojecimiento vaginal, problemas gestacionales, contracciones y presión pélvica."
98,"Diabetes","Enrojecimiento vaginal, problemas en el embarazo, contracciones y presión pélvica."
99,"Diabetes","He aumentado de peso y tengo mucha sed."
100,"Enfermedad Por Reflujo Gastroesofágico","Tengo tos, dificultad para tragar, un dolor abdominal muy agudo y ardor en el abdomen."
101,"Enfermedad Por Reflujo Gastroesofágico","Se me ha puesto la voz ronca, me cuesta tragar, siento dolor abdominal agudo y regurgitación constante."
102,"Enfermedad Por Reflujo Gastroesofágico","Siento un dolor agudo en el pecho, voz ronca y tos."
103,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo en el pecho, tos, dificultad para tragar, dolor abdominal agudo, regurgitación, ardor en el abdomen y vuelvo a regurgitar."
104,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo en el pecho, tos, dificultad para tragar, dolor abdominal agudo, náuseas y regurgitación repetida."
105,"Enfermedad Por Reflujo Gastroesofágico","Opresión en el pecho, voz ronca, tos, dolor abdominal agudo, náuseas y regurgitación."
106,"Enfermedad Por Reflujo Gastroesofágico","Voz ronca, dificultad para tragar, dolor abdominal agudo, náuseas y ardor en el abdomen."
107,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo y opresivo en el pecho, voz ronca, tos, regurgitación, ardor abdominal y más regurgitación."
108,"Enfermedad Por Reflujo Gastroesofágico","Opresión en el pecho, dificultad para tragar, náuseas y ardor en el abdomen."
109,"Enfermedad Por Reflujo Gastroesofágico","Voz ronca, tos, dificultad para tragar, dolor abdominal agudo, regurgitación, ardor abdominal y otra vez regurgitación."
110,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo y opresión en el pecho, tos, dificultad para tragar, dolor abdominal agudo y ardor en el abdomen."
111,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo y opresivo en el pecho, dificultad para tragar y náuseas."
112,"Enfermedad Por Reflujo Gastroesofágico","Siento el pecho oprimido, me cuesta tragar y tengo náuseas."
113,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo en el pecho, dolor abdominal agudo y ardor en el abdomen."
114,"Enfermedad Por Reflujo Gastroesofágico","Voz ronca, dificultad para tragar, dolor abdominal agudo y náuseas."
115,"Enfermedad Por Reflujo Gastroesofágico","Dolor agudo en el pecho, voz ronca, tos, dificultad para tragar, náuseas, regurgitación, ardor abdominal y de nuevo regurgitación."
116,"Enfermedad Por Reflujo Gastroesofágico","Opresión en el pecho, dolor abdominal agudo, náuseas y ardor en el abdomen."
117,"Enfermedad Por Reflujo Gastroesofágico","Opresión en el pecho, tos, dificultad para tragar, dolor abdominal agudo y regurgitación."
118,"Enfermedad Por Reflujo Gastroesofágico","Opresión en el pecho, voz ronca y tos."
119,"Enfermedad Por Reflujo Gastroesofágico","Voz ronca, dolor abdominal agudo y regurgitación."
120,"Alergia","Me apareció hinchazón en la piel y en los labios, picazón en los ojos, retención de líquidos, un ojo hinchado, picazón en la piel y erupción cutánea."
121,"Alergia","Tengo tos, la piel se me ve rara, reacción alérgica, retención de líquidos, me pica la piel y tengo erupción."
122,"Alergia","Tos, hinchazón de labios, retención de líquidos, ojo hinchado, picazón en la piel y erupción."
123,"Alergia","Tos, hinchazón de la piel, se me hinchan piernas o brazos, picazón en los ojos, reacción alérgica y picazón en la piel."
124,"Alergia","Tos, hinchazón de labios, reacción alérgica y picazón en la piel."
125,"Alergia","Tengo tos, una reacción alérgica y estoy reteniendo líquidos."
126,"Alergia","Se me hinchan los labios, las piernas o brazos, picazón en los ojos, retención de líquidos, ojo hinchado y erupción cutánea."
127,"Alergia","Hinchazón de labios, picazón en los ojos y en la piel."
128,"Alergia","Tos, hinchazón de la piel, reacción alérgica, retención de líquidos y picazón en la piel."
129,"Alergia","La piel se me hincha, se ve anormal, retengo líquidos y tengo erupción."
130,"Alergia","Tos, hinchazón de la piel, labios hinchados, piernas o brazos hinchados, reacción alérgica y erupción."
131,"Alergia","Tos, hinchazón de la piel y labios, la piel se ve anormal, retención de líquidos y erupción cutánea."
132,"Alergia","Tos, hinchazón de la piel, piel anormal, hinchazón en piernas o brazos, picazón en ojos, reacción alérgica, retención de líquidos, picazón en la piel y erupción."
133,"Alergia","Hinchazón de la piel, piernas o brazos hinchados, picazón en los ojos, retención de líquidos, ojo hinchado y erupción."
134,"Alergia","Piel con aspecto anormal e hinchazón en piernas o brazos."
135,"Alergia","Tos, hinchazón de labios y picazón en los ojos."
136,"Alergia","Tos, hinchazón de piel y labios, piel de aspecto raro y retención de líquidos."
137,"Alergia","Tos, hinchazón de piel y labios, piernas o brazos hinchados, picazón en ojos, reacción alérgica, retención de líquidos, ojo hinchado, picazón en la piel y erupción."
138,"Alergia","Picazón en los ojos, reacción alérgica, retención de líquidos y picazón en la piel."
139,"Alergia","Hinchazón en piernas o brazos, reacción alérgica, retención de líquidos y picazón en la piel."
140,"Venas Varicosas","Me duele la pierna, se me hincha, tengo linfedema y noto un bulto o masa en la pierna."
141,"Venas Varicosas","Dolor e hinchazón en la pierna, y me dan calambres o espasmos en esa misma pierna."
142,"Venas Varicosas","Hinchazón en la pierna, calambres o espasmos en la pierna y dolor generalizado."
143,"Venas Varicosas","Tengo una lesión en la piel, calambres en la pierna, linfedema y un bulto en la pierna."
144,"Venas Varicosas","Lesión en la piel, hinchazón de pierna, calambres en la pierna, dolor generalizado, linfedema y un bulto o masa en la pierna."
145,"Venas Varicosas","Lesión en la piel, hinchazón en piernas o brazos, dolor generalizado y un bulto en la pierna."
146,"Venas Varicosas","Hinchazón en piernas o brazos, hinchazón de pierna, calambres en la pierna y linfedema."
147,"Venas Varicosas","Dolor de pierna, hinchazón en piernas o brazos, hinchazón de pierna y calambres en la pierna."
148,"Venas Varicosas","Dolor de pierna, hinchazón en piernas o brazos, hinchazón de pierna, calambres en la pierna, dolor generalizado y bulto en la pierna."
149,"Venas Varicosas","Hinchazón en piernas o brazos, calambres en la pierna y un bulto o masa en la pierna."
150,"Venas Varicosas","Hinchazón en piernas o brazos, hinchazón de pierna, calambres en la pierna y un bulto en la pierna."
151,"Venas Varicosas","Hinchazón en piernas o brazos, dolor generalizado y linfedema."
152,"Venas Varicosas","Dolor de pierna, lesión en la piel, dolor generalizado y linfedema."
153,"Venas Varicosas","Dolor de pierna, lesión en la piel, calambres en la pierna y dolor generalizado."
154,"Venas Varicosas","Lesión en la piel, hinchazón en piernas o brazos, hinchazón de pierna, calambres en la pierna y dolor generalizado."
155,"Venas Varicosas","Dolor de pierna, hinchazón en piernas o brazos, calambres en la pierna y dolor generalizado."
156,"Venas Varicosas","Lesión en la piel, hinchazón en piernas o brazos, hinchazón de pierna, calambres, dolor generalizado y bulto en la pierna."
157,"Venas Varicosas","Lesión en la piel, hinchazón en piernas o brazos y un bulto o masa en la pierna."
158,"Venas Varicosas","Calambres o espasmos en la pierna, dolor generalizado y un bulto en la pierna."
159,"Venas Varicosas","Hinchazón de pierna, dolor generalizado, linfedema y un bulto en la pierna."
160,"Infección Fúngica","Tengo acné o espinillas, el cuero cabelludo se ve irregular, me pica la piel y el cuero cabelludo, tengo poco cabello y una erupción."
161,"Infección Fúngica","Hinchazón de la piel, lesión en la piel, acné, picazón en la piel, sequedad y descamación áspera, picazón en el cuero cabelludo y erupción."
162,"Infección Fúngica","Piel hinchada, acné, cuero cabelludo irregular, picazón en piel y cuero cabelludo, y poco cabello."
163,"Infección Fúngica","La piel se ve anormal, me pica la piel y el cuero cabelludo."
164,"Infección Fúngica","Piel con aspecto anormal, acné, picazón, sequedad y aspereza, poco cabello y erupción cutánea."
165,"Infección Fúngica","Piel anormal, lesión en la piel, picazón en piel y cuero cabelludo, poco cabello y erupción."
166,"Infección Fúngica","Hinchazón de la piel, piel anormal, acné, cuero cabelludo irregular, picazón en la piel, sequedad áspera, picazón en cuero cabelludo y poco cabello."
167,"Infección Fúngica","Hinchazón de la piel, acné, cuero cabelludo irregular, picazón en la piel y en el cuero cabelludo."
168,"Infección Fúngica","Hinchazón y aspecto anormal de la piel, lesión, acné, picazón en el cuero cabelludo y poco cabello."
169,"Infección Fúngica","Piel hinchada y anormal, acné, picazón en la piel, sequedad áspera, picazón en cuero cabelludo y erupción."
170,"Infección Fúngica","Acné, picazón en la piel, sequedad y descamación áspera, picazón en el cuero cabelludo, poco cabello y erupción."
171,"Infección Fúngica","Hinchazón y aspecto anormal de la piel, lesión, picazón en la piel y erupción."
172,"Infección Fúngica","Piel con aspecto anormal, sequedad y aspereza, y picazón en el cuero cabelludo."
173,"Infección Fúngica","Hinchazón de la piel, cuero cabelludo irregular, poco cabello y erupción."
174,"Infección Fúngica","Piel anormal, lesión, picazón, sequedad áspera, poco cabello y erupción."
175,"Infección Fúngica","Piel hinchada y anormal, lesión, acné, cuero cabelludo irregular, picazón en la piel y cuero cabelludo, y erupción."
176,"Infección Fúngica","Piel anormal, lesión, acné y erupción."
177,"Infección Fúngica","Piel anormal, lesión, acné, picazón en piel y cuero cabelludo, y erupción."
178,"Infección Fúngica","Hinchazón de la piel, aspecto anormal y lesión en la piel."
179,"Infección Fúngica","Hinchazón, aspecto anormal, lesión en la piel, acné y erupción."
180,"Reacción A Medicamentos","Me falta el aire, se me hincha la garganta, tengo vómitos, náuseas, hinchazón en piernas o brazos y picazón en la piel."
181,"Reacción A Medicamentos","Vómitos, dolor de cabeza, náuseas, reacción alérgica, picazón en la piel y erupción cutánea."
182,"Reacción A Medicamentos","Falta de aire, mareos, hinchazón de garganta, vómitos, náuseas, picazón en la piel y erupción."
183,"Reacción A Medicamentos","Falta de aire, vómitos, dolor de cabeza, náuseas, hinchazón en piernas o brazos, reacción alérgica, picazón y erupción."
184,"Reacción A Medicamentos","Falta de aire, mareos, náuseas, piel con aspecto anormal, hinchazón en piernas o brazos, reacción alérgica y picazón."
185,"Reacción A Medicamentos","Hinchazón de garganta, dolor de cabeza, náuseas, piel anormal, reacción alérgica y picazón en la piel."
186,"Reacción A Medicamentos","Me falta el aire, tengo mareos y se me hincha la garganta."
187,"Reacción A Medicamentos","Vómitos, náuseas, piel de aspecto raro, hinchazón en piernas o brazos, reacción alérgica y erupción."
188,"Reacción A Medicamentos","Falta de aire, vómitos, dolor de cabeza, náuseas, reacción alérgica y picazón."
189,"Reacción A Medicamentos","Falta de aire, mareos, garganta hinchada, piel anormal y picazón en la piel."
190,"Reacción A Medicamentos","Hinchazón de garganta, hinchazón en piernas o brazos, reacción alérgica, picazón en la piel y erupción."
191,"Reacción A Medicamentos","Falta de aire, vómitos, náuseas, piel anormal, hinchazón en extremidades, reacción alérgica y picazón."
192,"Reacción A Medicamentos","Falta de aire, mareos, garganta hinchada, náuseas, hinchazón en piernas o brazos, reacción alérgica y erupción."
193,"Reacción A Medicamentos","Falta de aire, dolor de cabeza, náuseas, piel anormal, hinchazón en extremidades, reacción alérgica y erupción."
194,"Reacción A Medicamentos","Falta de aire, mareos, vómitos, náuseas, hinchazón en piernas o brazos, reacción alérgica, picazón y erupción."
195,"Reacción A Medicamentos","Garganta hinchada, piel con aspecto anormal, reacción alérgica y picazón en la piel."
196,"Reacción A Medicamentos","Mareos, garganta hinchada, vómitos, náuseas, piel anormal, reacción alérgica, picazón y erupción."
197,"Reacción A Medicamentos","Falta de aire, garganta hinchada, vómitos, piel anormal, reacción alérgica y erupción."
198,"Reacción A Medicamentos","Falta de aire, vómitos, dolor de cabeza, náuseas, piel anormal, hinchazón en extremidades, reacción alérgica y erupción."
199,"Reacción A Medicamentos","Falta de aire, mareos, garganta hinchada, vómitos, dolor de cabeza, náuseas y picazón en la piel."
200,"Neumonía","Me falta el aire, siento un dolor agudo en el pecho, dolor de garganta, congestión nasal, vómitos, un silbido al respirar y mucha debilidad."
201,"Neumonía","Dolor agudo en el pecho, tos, silbido al respirar y debilidad."
202,"Neumonía","Dolor de garganta, tos, vómitos, silbido al respirar, debilidad, dificultad para respirar, escalofríos y secreción nasal."
203,"Neumonía","Falta de aire, dolor agudo en el pecho, dolor de garganta, congestión nasal y fiebre."
204,"Neumonía","Falta de aire, dolor agudo en el pecho, dolor de garganta, tos, congestión nasal, vómitos, fiebre, dificultad para respirar y escalofríos."
205,"Neumonía","Dolor de garganta, silbido al respirar, debilidad, fiebre, dificultad para respirar, escalofríos y secreción nasal."
206,"Neumonía","Tengo tos, fiebre y escalofríos."
207,"Neumonía","Falta de aire, tos, congestión nasal, silbido al respirar, dificultad para respirar, escalofríos y secreción nasal."
208,"Neumonía","Silbido al respirar, fiebre y secreción nasal."
209,"Neumonía","Congestión nasal, debilidad y dificultad para respirar."
210,"Neumonía","Dolor de garganta, tos, congestión nasal, debilidad, dificultad para respirar y escalofríos."
211,"Neumonía","Falta de aire, dolor agudo en el pecho, congestión nasal, vómitos, debilidad y secreción nasal."
212,"Neumonía","Falta de aire, congestión nasal, silbido al respirar, fiebre, escalofríos y secreción nasal."
213,"Neumonía","Falta de aire, dolor agudo en el pecho, dolor de garganta, vómitos, debilidad, dificultad para respirar y escalofríos."
214,"Neumonía","Dolor agudo en el pecho, tos, vómitos, debilidad y escalofríos."
215,"Neumonía","Falta de aire, dolor de garganta, vómitos, silbido al respirar, fiebre, dificultad para respirar, escalofríos y secreción nasal."
216,"Neumonía","Dolor agudo en el pecho, dolor de garganta, congestión nasal, vómitos, silbido al respirar, debilidad, dificultad para respirar y escalofríos."
217,"Neumonía","Falta de aire, dolor de garganta, tos, congestión nasal, vómitos, silbido al respirar y dificultad para respirar."
218,"Neumonía","Dolor agudo en el pecho, dolor de garganta, silbido al respirar y secreción nasal."
219,"Neumonía","Falta de aire, dolor agudo en el pecho, dolor de garganta, tos, vómitos y secreción nasal."
220,"Fiebre Tifoidea","Tengo fiebre persistente, dolor abdominal y diarrea."
221,"Fiebre Tifoidea","Presento fiebre alta, cansancio y he perdido el apetito."
222,"Fiebre Tifoidea","He sentido debilidad, fiebre y molestias en el estómago."
223,"Fiebre Tifoidea","Tengo dolor abdominal, fiebre continua y náuseas."
224,"Fiebre Tifoidea","Llevo días con fiebre elevada, diarrea y una fatiga constante."
225,"Fiebre Tifoidea","Siento escalofríos, dolor estomacal y pérdida de apetito."
226,"Fiebre Tifoidea","Tengo fiebre desde hace días, debilidad y dolor abdominal."
227,"Fiebre Tifoidea","Estoy con cansancio extremo, fiebre y malestar digestivo."
228,"Fiebre Tifoidea","He tenido fiebre alta, estreñimiento y dolor abdominal."
229,"Fiebre Tifoidea","Siento dolor de cabeza, fiebre y molestias intestinales."
230,"Fiebre Tifoidea","Tengo diarrea, fiebre persistente y mucha debilidad."
231,"Fiebre Tifoidea","Presento dolor abdominal, náuseas y fiebre elevada."
232,"Fiebre Tifoidea","Me siento cansado, con fiebre y sin nada de apetito."
233,"Fiebre Tifoidea","Fiebre continua, dolor de estómago y malestar general."
234,"Fiebre Tifoidea","Debilidad, fiebre alta y diarrea frecuente."
235,"Fiebre Tifoidea","He tenido dolor abdominal, cansancio y temperatura elevada."
